Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Singkohor, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 81
Suro Makmur, Aceh Singkil, Nanggroe Aceh Darussalam (NAD), 82
Banda Mulia, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 83
Bandar Pusaka, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 84
Bendahara, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 85
Karang Baru, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 86
Kejuruan Muda, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 87
Kota Kuala Simpang, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 88
Manyak Payed, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 89
Rantau, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 90
Sekerak, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 91
Seruway, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 92
Tamiang Hulu, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 93
Tenggulun, Aceh Tamiang, Nanggroe Aceh Darussalam (NAD), 94
Atu Lintang, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 95
Bebesen, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 96
Bies, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 97
Bintang, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 98
Celala, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 99
Jagong Jeget, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 100
Kebayakan, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 101
Ketol, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 102
Kute Panang, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 103
Linge, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 104
Lut Tawar, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 105
Pegasing, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 106
Rusip Antara, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 107
Silih Nara, Aceh Tengah, Nanggroe Aceh Darussalam (NAD), 108
Babul Makmur, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 109
Babul Rahmah, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 110
Babussalam, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 111
Badar, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 112
Bambel, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 113
Bukit Tusam, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 114
Darul Hasanah, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 115
Deleng Pokhisen, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 116
Ketambe, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 117
Lawe Alas, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 118
Lawe Bulan, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 119
Lawe Sigala-Gala, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 120
Lawe Sumur, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 121
Leuser, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 122
Semadam, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 123
Tanah Alas, Aceh Tenggara, Nanggroe Aceh Darussalam (NAD), 124
Banda Alam, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 125
Birem Bayeun, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 126
Darul Aman, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 127
Darul Falah, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 128
Darul Iksan (Ihsan), Aceh Timur, Nanggroe Aceh Darussalam (NAD), 129
Idi Rayeuk, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 130
Idi Timur, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 131
Idi Tunong, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 132
Indra Makmur, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 133
Julok, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 134
Madat, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 135
Nurussalam, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 136
Pante Bidari (Beudari), Aceh Timur, Nanggroe Aceh Darussalam (NAD), 137
Peudawa, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 138
Peunaron, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 139
Peureulak, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 140
Peureulak Barat, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 141
Peureulak Timur, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 142
Rantau Selamat, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 143
Ranto Peureulak, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 144
Serba Jadi, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 145
Simpang Jernih, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 146
Simpang Ulim, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 147
Sungai Raya, Aceh Timur, Nanggroe Aceh Darussalam (NAD), 148
Baktiya, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 149
Baktiya Barat, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 150
Banda Baro, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 151
Cot Girek, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 152
Dewantara, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 153
Geuredong Pase, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 154
Kuta Makmur, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 155
Langkahan, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 156
Lapang, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 157
Lhoksukon, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 158
Matangkuli, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 159
Meurah Mulia, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 160
Muara Batu, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 161
Nibong, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 162
Nisam, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 163
Nisam Antara, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 164
Paya Bakong, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 165
Pirak Timur, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 166
Samudera, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 167
Sawang, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 168
Seunuddon (Seunudon), Aceh Utara, Nanggroe Aceh Darussalam (NAD), 169
Simpang Kramat (Keramat), Aceh Utara, Nanggroe Aceh Darussalam (NAD), 170
Syamtalira Aron, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 171
Syamtalira Bayu, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 172
Tanah Jambo Aye, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 173
Tanah Luas, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 174
Tanah Pasir, Aceh Utara, Nanggroe Aceh Darussalam (NAD), 175
Ampek Nagari (IV Nagari ), Agam, Sumatera Barat, 176
Banuhampu, Agam, Sumatera Barat, 177
Baso, Agam, Sumatera Barat, 178
Candung, Agam, Sumatera Barat, 179
IV Angkat Candung (Ampek Angkek), Agam, Sumatera Barat, 180
IV Koto (Ampek Koto), Agam, Sumatera Barat, 181
Kamang Magek, Agam, Sumatera Barat, 182
Lubuk Basung, Agam, Sumatera Barat, 183
Malakak, Agam, Sumatera Barat, 184
Matur, Agam, Sumatera Barat, 185
Palembayan, Agam, Sumatera Barat, 186
Palupuh, Agam, Sumatera Barat, 187
Sungai Pua (Puar), Agam, Sumatera Barat, 188
Tanjung Mutiara, Agam, Sumatera Barat, 189
Tanjung Raya, Agam, Sumatera Barat, 190
Tilatang Kamang, Agam, Sumatera Barat, 191
Alor Barat Daya, Alor, Nusa Tenggara Timur (NTT), 192
Alor Barat Laut, Alor, Nusa Tenggara Timur (NTT), 193
Alor Selatan, Alor, Nusa Tenggara Timur (NTT), 194
Alor Tengah Utara, Alor, Nusa Tenggara Timur (NTT), 195
Alor Timur, Alor, Nusa Tenggara Timur (NTT), 196
Alor Timur Laut, Alor, Nusa Tenggara Timur (NTT), 197
Kabola, Alor, Nusa Tenggara Timur (NTT), 198
Lembur, Alor, Nusa Tenggara Timur (NTT), 199
Mataru, Alor, Nusa Tenggara Timur (NTT), 200
Pantar, Alor, Nusa Tenggara Timur (NTT), 201
Pantar Barat, Alor, Nusa Tenggara Timur (NTT), 202
Pantar Barat Laut, Alor, Nusa Tenggara Timur (NTT), 203
Pantar Tengah, Alor, Nusa Tenggara Timur (NTT), 204
Pantar Timur, Alor, Nusa Tenggara Timur (NTT), 205
Pulau Pura, Alor, Nusa Tenggara Timur (NTT), 206
Pureman, Alor, Nusa Tenggara Timur (NTT), 207
Teluk Mutiara, Alor, Nusa Tenggara Timur (NTT), 208
Baguala, Ambon, Maluku, 209
Leitimur Selatan, Ambon, Maluku, 210
Nusaniwe (Nusanive), Ambon, Maluku, 211
Sirimau, Ambon, Maluku, 212
Teluk Ambon, Ambon, Maluku, 213
Aek Kuasan, Asahan, Sumatera Utara, 214
Aek Ledong, Asahan, Sumatera Utara, 215
Aek Songsongan, Asahan, Sumatera Utara, 216
Air Batu, Asahan, Sumatera Utara, 217
Air Joman, Asahan, Sumatera Utara, 218
Bandar Pasir Mandoge, Asahan, Sumatera Utara, 219
Bandar Pulau, Asahan, Sumatera Utara, 220
Buntu Pane, Asahan, Sumatera Utara, 221
Kisaran Barat Kota, Asahan, Sumatera Utara, 222
Kisaran Timur Kota, Asahan, Sumatera Utara, 223
Meranti, Asahan, Sumatera Utara, 224
Pulau Rakyat, Asahan, Sumatera Utara, 225
Pulo Bandring, Asahan, Sumatera Utara, 226
Rahuning, Asahan, Sumatera Utara, 227
Rawang Panca Arga, Asahan, Sumatera Utara, 228
Sei Dadap, Asahan, Sumatera Utara, 229
Sei Kepayang, Asahan, Sumatera Utara, 230
Sei Kepayang Barat, Asahan, Sumatera Utara, 231
Sei Kepayang Timur, Asahan, Sumatera Utara, 232
Setia Janji, Asahan, Sumatera Utara, 233
Silau Laut, Asahan, Sumatera Utara, 234
Simpang Empat, Asahan, Sumatera Utara, 235
Tanjung Balai, Asahan, Sumatera Utara, 236
Teluk Dalam, Asahan, Sumatera Utara, 237
Tinggi Raja, Asahan, Sumatera Utara, 238
Agats, Asmat, Papua, 239
Akat, Asmat, Papua, 240
Atsy / Atsj, Asmat, Papua, 241
Ayip, Asmat, Papua, 242
Betcbamu, Asmat, Papua, 243
Der Koumur, Asmat, Papua, 244
Fayit, Asmat, Papua, 245
Jetsy, Asmat, Papua, 246
Joerat, Asmat, Papua, 247
Kolf Braza, Asmat, Papua, 248
Kopay, Asmat, Papua, 249
Pantai Kasuari, Asmat, Papua, 250
Pulau Tiga, Asmat, Papua, 251
Safan, Asmat, Papua, 252
Sawa Erma, Asmat, Papua, 253
Sirets, Asmat, Papua, 254
Suator, Asmat, Papua, 255
Suru-suru, Asmat, Papua, 256
Unir Sirau, Asmat, Papua, 257
Abiansemal, Badung, Bali, 258
Kuta, Badung, Bali, 259
Kuta Selatan, Badung, Bali, 260
Kuta Utara, Badung, Bali, 261
Mengwi, Badung, Bali, 262
Petang, Badung, Bali, 263
Awayan, Balangan, Kalimantan Selatan, 264
Batu Mandi, Balangan, Kalimantan Selatan, 265
Halong, Balangan, Kalimantan Selatan, 266
Juai, Balangan, Kalimantan Selatan, 267
Lampihong, Balangan, Kalimantan Selatan, 268
Paringin, Balangan, Kalimantan Selatan, 269
Paringin Selatan, Balangan, Kalimantan Selatan, 270
Tebing Tinggi, Balangan, Kalimantan Selatan, 271
Balikpapan Barat, Balikpapan, Kalimantan Timur, 272
Balikpapan Kota, Balikpapan, Kalimantan Timur, 273
Balikpapan Selatan, Balikpapan, Kalimantan Timur, 274
Balikpapan Tengah, Balikpapan, Kalimantan Timur, 275
Balikpapan Timur, Balikpapan, Kalimantan Timur, 276
Balikpapan Utara, Balikpapan, Kalimantan Timur, 277
Baiturrahman, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 278
Banda Raya, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 279
Jaya Baru, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 280
Kuta Alam, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 281
Kuta Raja, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 282
Lueng Bata, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 283
Meuraxa, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 284
Syiah Kuala, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 285
Ulee Kareng, Banda Aceh, Nanggroe Aceh Darussalam (NAD), 286
Bumi Waras, Bandar Lampung, Lampung, 287
Enggal, Bandar Lampung, Lampung, 288
Kedamaian, Bandar Lampung, Lampung, 289
Kedaton, Bandar Lampung, Lampung, 290
Kemiling, Bandar Lampung, Lampung, 291
Labuhan Ratu, Bandar Lampung, Lampung, 292
Langkapura, Bandar Lampung, Lampung, 293
Panjang, Bandar Lampung, Lampung, 294
Rajabasa, Bandar Lampung, Lampung, 295
Sukabumi, Bandar Lampung, Lampung, 296
Sukarame, Bandar Lampung, Lampung, 297
Tanjung Karang Barat, Bandar Lampung, Lampung, 298
Tanjung Karang Pusat, Bandar Lampung, Lampung, 299
Tanjung Karang Timur, Bandar Lampung, Lampung, 300
Tanjung Senang, Bandar Lampung, Lampung, 301
Telukbetung Barat, Bandar Lampung, Lampung, 302
Telukbetung Selatan, Bandar Lampung, Lampung, 303
Telukbetung Timur, Bandar Lampung, Lampung, 304
Telukbetung Utara, Bandar Lampung, Lampung, 305
Way Halim, Bandar Lampung, Lampung, 306
Arjasari, Bandung, Jawa Barat, 307
Baleendah, Bandung, Jawa Barat, 308
Banjaran, Bandung, Jawa Barat, 309
Bojongsoang, Bandung, Jawa Barat, 310
Cangkuang, Bandung, Jawa Barat, 311
Cicalengka, Bandung, Jawa Barat, 312
Cikancung, Bandung, Jawa Barat, 313
Cilengkrang, Bandung, Jawa Barat, 314
Cileunyi, Bandung, Jawa Barat, 315
Cimaung, Bandung, Jawa Barat, 316
Cimeunyan, Bandung, Jawa Barat, 317
Ciparay, Bandung, Jawa Barat, 318
Ciwidey, Bandung, Jawa Barat, 319
Dayeuhkolot, Bandung, Jawa Barat, 320
Ibun, Bandung, Jawa Barat, 321
Katapang, Bandung, Jawa Barat, 322
Kertasari, Bandung, Jawa Barat, 323
Kutawaringin, Bandung, Jawa Barat, 324
Majalaya, Bandung, Jawa Barat, 325
Margaasih, Bandung, Jawa Barat, 326
Margahayu, Bandung, Jawa Barat, 327
Nagreg, Bandung, Jawa Barat, 328
Pacet, Bandung, Jawa Barat, 329
Pameungpeuk, Bandung, Jawa Barat, 330
Pangalengan, Bandung, Jawa Barat, 331
Paseh, Bandung, Jawa Barat, 332
Pasirjambu, Bandung, Jawa Barat, 333
Ranca Bali, Bandung, Jawa Barat, 334
Rancaekek, Bandung, Jawa Barat, 335
Solokan Jeruk, Bandung, Jawa Barat, 336
Soreang, Bandung, Jawa Barat, 337
Andir, Bandung, Jawa Barat, 338
Antapani (Cicadas), Bandung, Jawa Barat, 339
Arcamanik, Bandung, Jawa Barat, 340
Astana Anyar, Bandung, Jawa Barat, 341
Babakan Ciparay, Bandung, Jawa Barat, 342
Bandung Kidul, Bandung, Jawa Barat, 343
Bandung Kulon, Bandung, Jawa Barat, 344
Bandung Wetan, Bandung, Jawa Barat, 345
Batununggal, Bandung, Jawa Barat, 346
Bojongloa Kaler, Bandung, Jawa Barat, 347
Bojongloa Kidul, Bandung, Jawa Barat, 348
Buahbatu (Margacinta), Bandung, Jawa Barat, 349
Cibeunying Kaler, Bandung, Jawa Barat, 350
Cibeunying Kidul, Bandung, Jawa Barat, 351
Cibiru, Bandung, Jawa Barat, 352
Cicendo, Bandung, Jawa Barat, 353
Cidadap, Bandung, Jawa Barat, 354
Cinambo, Bandung, Jawa Barat, 355
Coblong, Bandung, Jawa Barat, 356
Gedebage, Bandung, Jawa Barat, 357
Kiaracondong, Bandung, Jawa Barat, 358
Lengkong, Bandung, Jawa Barat, 359
Mandalajati, Bandung, Jawa Barat, 360
Panyileukan, Bandung, Jawa Barat, 361
Rancasari, Bandung, Jawa Barat, 362
Regol, Bandung, Jawa Barat, 363
Sukajadi, Bandung, Jawa Barat, 364
Sukasari, Bandung, Jawa Barat, 365
Sumur Bandung, Bandung, Jawa Barat, 366
Ujung Berung, Bandung, Jawa Barat, 367
Batujajar, Bandung Barat, Jawa Barat, 368
Cihampelas, Bandung Barat, Jawa Barat, 369
Cikalong Wetan, Bandung Barat, Jawa Barat, 370
Cililin, Bandung Barat, Jawa Barat, 371
Cipatat, Bandung Barat, Jawa Barat, 372
Cipeundeuy, Bandung Barat, Jawa Barat, 373
Cipongkor, Bandung Barat, Jawa Barat, 374
Cisarua, Bandung Barat, Jawa Barat, 375
Gununghalu, Bandung Barat, Jawa Barat, 376
Lembang, Bandung Barat, Jawa Barat, 377
Ngamprah, Bandung Barat, Jawa Barat, 378
Padalarang, Bandung Barat, Jawa Barat, 379
Parongpong, Bandung Barat, Jawa Barat, 380
Rongga, Bandung Barat, Jawa Barat, 381
Saguling, Bandung Barat, Jawa Barat, 382
Sindangkerta, Bandung Barat, Jawa Barat, 383
Balantak, Banggai, Sulawesi Tengah, 384
Balantak Selatan, Banggai, Sulawesi Tengah, 385
Balantak Utara, Banggai, Sulawesi Tengah, 386
Batui, Banggai, Sulawesi Tengah, 387
Batui Selatan, Banggai, Sulawesi Tengah, 388
Bualemo (Boalemo), Banggai, Sulawesi Tengah, 389
Bunta, Banggai, Sulawesi Tengah, 390
Kintom, Banggai, Sulawesi Tengah, 391
Lamala, Banggai, Sulawesi Tengah, 392
Lobu, Banggai, Sulawesi Tengah, 393
Luwuk, Banggai, Sulawesi Tengah, 394
Luwuk Selatan, Banggai, Sulawesi Tengah, 395
Luwuk Timur, Banggai, Sulawesi Tengah, 396
Luwuk Utara, Banggai, Sulawesi Tengah, 397
Mantoh, Banggai, Sulawesi Tengah, 398
Masama, Banggai, Sulawesi Tengah, 399
Moilong, Banggai, Sulawesi Tengah, 400
Nambo, Banggai, Sulawesi Tengah, 401
Nuhon, Banggai, Sulawesi Tengah, 402
Pagimana, Banggai, Sulawesi Tengah, 403
Simpang Raya, Banggai, Sulawesi Tengah, 404
Toili, Banggai, Sulawesi Tengah, 405
Toili Barat, Banggai, Sulawesi Tengah, 406
Banggai, Banggai Kepulauan, Sulawesi Tengah, 407
Banggai Selatan, Banggai Kepulauan, Sulawesi Tengah, 408
Banggai Tengah, Banggai Kepulauan, Sulawesi Tengah, 409
Banggai Utara, Banggai Kepulauan, Sulawesi Tengah, 410
Bangkurung, Banggai Kepulauan, Sulawesi Tengah, 411
Bokan Kepulauan, Banggai Kepulauan, Sulawesi Tengah, 412
Buko, Banggai Kepulauan, Sulawesi Tengah, 413
Buko Selatan, Banggai Kepulauan, Sulawesi Tengah, 414
Bulagi, Banggai Kepulauan, Sulawesi Tengah, 415
Bulagi Selatan, Banggai Kepulauan, Sulawesi Tengah, 416
Bulagi Utara, Banggai Kepulauan, Sulawesi Tengah, 417
Labobo (Lobangkurung), Banggai Kepulauan, Sulawesi Tengah, 418
Liang, Banggai Kepulauan, Sulawesi Tengah, 419
Peling Tengah, Banggai Kepulauan, Sulawesi Tengah, 420
Tinangkung, Banggai Kepulauan, Sulawesi Tengah, 421
Tinangkung Selatan, Banggai Kepulauan, Sulawesi Tengah, 422
Tinangkung Utara, Banggai Kepulauan, Sulawesi Tengah, 423
Totikum (Totikung), Banggai Kepulauan, Sulawesi Tengah, 424
Totikum Selatan, Banggai Kepulauan, Sulawesi Tengah, 425
Bakam, Bangka, Bangka Belitung, 426
Belinyu, Bangka, Bangka Belitung, 427
Mendo Barat, Bangka, Bangka Belitung, 428
Merawang, Bangka, Bangka Belitung, 429
Pemali, Bangka, Bangka Belitung, 430
Puding Besar, Bangka, Bangka Belitung, 431
Riau Silip, Bangka, Bangka Belitung, 432
Sungai Liat, Bangka, Bangka Belitung, 433
Jebus, Bangka Barat, Bangka Belitung, 434
Kelapa, Bangka Barat, Bangka Belitung, 435
Mentok (Muntok), Bangka Barat, Bangka Belitung, 436
Parittiga, Bangka Barat, Bangka Belitung, 437
Simpang Teritip, Bangka Barat, Bangka Belitung, 438
Tempilang, Bangka Barat, Bangka Belitung, 439
Air Gegas, Bangka Selatan, Bangka Belitung, 440
Kepulauan Pongok, Bangka Selatan, Bangka Belitung, 441
Lepar Pongok, Bangka Selatan, Bangka Belitung, 442
Payung, Bangka Selatan, Bangka Belitung, 443
Pulau Besar, Bangka Selatan, Bangka Belitung, 444
Simpang Rimba, Bangka Selatan, Bangka Belitung, 445
